Block,Lot,Address,Status,District
38,10,5 LAKE TRAIL WEST,Contributing,IS
38,11,3 LAKE TRAIL WEST,Contributing,IS
39,1,19 PRIMROSE TRAIL,Contributing,IS
39,3,25 PRIMROSE TRAIL,Contributing,IS
39,4,29 PRIMROSE TRAIL,Contributing,IS
39,6,35 PRIMROSE TRAIL,Contributing,IS
39,15,33 LAKE TRAIL WEST,Contributing,IS
40,1,53 PRIMROSE TRAIL,Contributing,IS
41,2,4 LAKE TRAIL WEST,Contributing,IS
41,5,10 LAKE TRAIL WEST,Contributing,IS
41,10,22 LAKE TRAIL WEST,Contributing,IS
41,14,32 LAKE TRAIL WEST,Contributing,IS
41,15,34 LAKE TRAIL WEST,Contributing,IS
41,16,38 LAKE TRAIL WEST,Contributing,IS
41,17,40 LAKE TRAIL WEST,Contributing,IS
41,18,44 LAKE TRAIL WEST,Contributing,IS
41,19,48 LAKE TRAIL WEST,Contributing,IS
41,21,56 LAKE TRAIL WEST,Contributing,IS
42,1,58 LAKE TRAIL WEST,Contributing,IS
42,4,2 DOGWOOD DR,Contributing,IS
43,5,19 LAKE TRAIL EAST,Contributing,IS
43,8,31 LAKE TRAIL EAST,Contributing,IS
43,10,37 LAKE TRAIL EAST,Contributing,IS
43,11,41 LAKE TRAIL EAST,Contributing,IS
43,12,45 LAKE TRAIL EAST,Contributing,IS
44,1,34 LAKE TRAIL EAST,Contributing,IS
44,6,40 LAKE TRAIL EAST,Contributing,IS
44,7,44 LAKE TRAIL EAST,Contributing,IS
44,14,17 ALPINE TRAIL,Contributing,IS
46,4,73 BAILEYS MILL RD,Key Contributing,IS
46,11.01,45 BAILEYS MILL RD,Contributing,IS
46.02,3,145 BAILEYS MILL RD,Contributing,IS
47,1,2 BAILEYS MILL RD,Non Contributing,LO
47,2,224 LEES HILL RD,Contributing,LO
47,3,220 LEES HILL RD,Non Contributing,LO
47,4,210 LEES HILL RD,Contributing,LO
47,4.01,208 LEE'S HILL RD,Non Contributing,LO
47,5,200 LEES HILL RD,Contributing,LO
47,6.01,194 LEES HILL RD,Contributing,LO
47,7,148 LEES HILL RD,Contributing,LO
47,7.01,168 LEES HILL RD,Non Contributing,LO
47,8,156 LEES HILL RD,Contributing,LO
47,9.01,140 LEES HILL RD,Non Contributing,LO
47,9.02,132 LEES HILL RD,Non Contributing,LO
47,10,114 LEES HILL RD,Contributing,LO
47,10.01,106 LEES HILL RD,Contributing,LO
47,10.02,126 LEES HILL RD,Non Contributing,LO
47,11,7 YOUNGS RD,Contributing,IS
47,11.01,17 YOUNGS RD,Contributing,IS
47,12.01,31 YOUNGS RD,Contributing,IS
47,14,57 YOUNGS RD,Contributing,IS
47,14.01,65 YOUNGS RD,Contributing,IS
47,27,2 SHEEPFIELD FARMS DR,Non Contributing,LO
47,28,12 SHEEPFIELD FARMS DR,Vacant,LO
48,3,62 YOUNGS RD,Contributing,IS
48,11,76 YOUNGS RD,Contributing,IS
48.01,4,1 BAILEYS MILL RD,Contributing,LO
48.01,6,232 LEES HILL RD,Contributing,LO
49,1,2 LEES HILL RD,Key Contributing,NV
49,2,14 LEES HILL RD,Contributing,NV
49,3,16 LEES HILL RD,Contributing,NV
49,4,20 LEES HILL RD,Non Contributing,NV
49,5,22 LEES HILL RD,Contributing,NV
49,5.01,4 CRANE ROAD,Non Contributing,NV
49,6,24 LEES HILL RD,Contributing,NV
49,7,26 LEES HILL RD,Contributing,NV
49,7.01,10 CRANE ROAD,Non Contributing,NV
49,8,30 LEES HILL RD,Contributing,NV
49,9,34 LEES HILL RD,Contributing,IS
49,11,88 LEES HILL RD,Contributing,LO
49,11.02,77 GLEN ALPIN RD,Contributing,IS
49,12.01,47 GLEN ALPIN RD,Contributing,NV
49,13,45 GLEN ALPIN RD,Contributing,NV
49,14.01,37 GLEN ALPIN RD,Non Contributing,NV
49,14.02,31 GLEN ALPIN RD,Contributing,NV
49,14.03,25 GLEN ALPIN RD,Non Contributing,NV
49,14.04,43 GLEN ALPIN RD,Non Contributing,NV
